
SOAP Analysis Report Output for starlink_100_sats_3.orb,
Generated: Thu Dec 15 22:26:46 2022,
Start: 2022/04/30 01:42:00.00, Stop: 2022/05/01 01:42:00.00,
Analysis,STARLINK-2272 - STARLINK-1489,
       Rise,         Set, Duration (s),
    3016.368,    3878.763,     862.395,
   17341.400,   18215.835,     874.434,
   31678.454,   32540.873,     862.419,
   43143.286,   46877.966,    3734.680,
   57468.280,   61202.975,    3734.695,
   71805.363,   72667.813,     862.450,
   86130.328,   86400.000,     269.672,
Is_True,          12.9638%,
Analysis,STARLINK-2272 - STARLINK-2618,
       Rise,         Set, Duration (s),
    6922.957,   10844.230,    3921.273,
   21260.792,   22311.917,    1051.124,
   35590.057,   36650.713,    1060.656,
   49927.888,   50980.972,    1053.084,
   64257.133,   65319.652,    1062.520,
   78594.957,   79649.799,    1054.841,
Is_True,          10.6522%,
Analysis,STARLINK-2272 - STARLINK-3240,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-3862,
       Rise,         Set, Duration (s),
   10403.298,   11118.676,     715.378,
   21522.635,   25229.239,    3706.604,
   35614.192,   36357.681,     743.488,
Is_True,           5.9786%,
Analysis,STARLINK-2272 - STARLINK-2031,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-2271,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-2350,
       Rise,         Set, Duration (s),
   60549.661,   61561.500,    1011.839,
   71722.433,   78751.329,    7028.895,
   85818.519,   86400.000,     581.481,
Is_True,           9.9794%,
Analysis,STARLINK-2272 - STARLINK-2292,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-3350,
       Rise,         Set, Duration (s),
       0.000,   46957.246,   46957.246,
Is_True,          54.3487%,
Analysis,STARLINK-2272 - FALCON 9 DEB18,
       Rise,         Set, Duration (s),
   79164.513,   79896.095,     731.581,
Is_True,           0.8467%,
Analysis,STARLINK-2272 - STARLINK-2334,
       Rise,         Set, Duration (s),
       0.000,    4244.184,    4244.184,
   11433.880,   18582.331,    7148.450,
   25773.670,   32906.332,    7132.662,
   40096.147,   47244.508,    7148.362,
   54435.959,   61568.471,    7132.512,
   71633.328,   78765.751,    7132.423,
   85955.751,   86400.000,     444.249,
Is_True,          46.7394%,
Analysis,STARLINK-2272 - STARLINK-1542,
       Rise,         Set, Duration (s),
   10693.852,   11289.991,     596.139,
   25022.116,   25624.249,     602.133,
   39357.803,   39952.072,     594.269,
   53686.025,   54286.343,     600.319,
   68021.705,   68614.141,     592.436,
   82349.884,   82948.426,     598.541,
Is_True,           4.1480%,
Analysis,STARLINK-2272 - STARLINK-2489,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-2241,
       Rise,         Set, Duration (s),
   10468.635,   11331.253,     862.617,
   24800.176,   25662.522,     862.346,
   39131.097,   39994.026,     862.929,
   53462.634,   54325.280,     862.645,
   67793.544,   68656.777,     863.233,
   82125.077,   82988.014,     862.937,
Is_True,           5.9916%,
Analysis,STARLINK-2272 - STARLINK-1769,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-2416,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-1153,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-2278,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-1160,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-1569,
       Rise,         Set, Duration (s),
       0.000,     211.736,     211.736,
   13914.737,   14541.996,     627.259,
   28245.612,   28873.917,     628.305,
   42577.195,   43204.165,     626.971,
   68373.030,   69000.954,     627.924,
   82704.617,   83331.187,     626.571,
Is_True,           3.8759%,
Analysis,STARLINK-2272 - STARLINK-3116,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-3622,
       Rise,         Set, Duration (s),
   63974.326,   86400.000,   22425.674,
Is_True,          25.9556%,
Analysis,STARLINK-2272 - STARLINK-3303,
       Rise,         Set, Duration (s),
    3454.039,    3923.886,     469.847,
   14343.955,   18186.046,    3842.091,
   28418.848,   29217.786,     798.938,
Is_True,           5.9154%,
Analysis,STARLINK-2272 - STARLINK-3652,
       Rise,         Set, Duration (s),
     721.255,    7681.053,    6959.797,
   17911.196,   18787.404,     876.209,
Is_True,           9.0695%,
Analysis,STARLINK-2272 - STARLINK-2160,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-3823,
       Rise,         Set, Duration (s),
   31600.112,   32646.519,    1046.407,
Is_True,           1.2111%,
Analysis,STARLINK-2272 - STARLINK-2111,
       Rise,         Set, Duration (s),
    6656.988,    7202.496,     545.508,
   46783.953,   47329.458,     545.505,
   61125.759,   61649.731,     523.972,
   75446.059,   75991.569,     545.510,
Is_True,           2.5006%,
Analysis,STARLINK-2272 - STARLINK-2296,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-2008,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-1398,
       Rise,         Set, Duration (s),
     578.146,    7565.344,    6987.199,
   17775.300,   21888.745,    4113.445,
   32115.770,   36228.657,    4112.887,
   46437.222,   53426.629,    6989.407,
   60777.717,   67749.969,    6972.251,
   75099.141,   82089.890,    6990.749,
Is_True,          41.8587%,
Analysis,STARLINK-2272 - STARLINK-2453,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-1184,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-2272 - STARLINK-3048,
       Rise,         Set, Duration (s),
    3042.035,    4291.225,    1249.190,
   17338.271,   24552.409,    7214.138,
   25940.453,   38985.765,   13045.312,
   40268.780,   53415.763,   13146.983,
