
SOAP Analysis Report Output for starlink_20_sats_40.orb,
Generated: Mon Jan 09 13:33:10 2023,
Start: 2016/04/05 01:42:00.00, Stop: 2016/04/06 01:42:00.00,
Samples: 25, Step: 3600.000000 s, System: UTC,
TIME_UNITS,      ,,
SECONDS,
Analysis,STARLINK-3718 - STARLINK-3255,
Is_True,           0.0000%,
Analysis,STARLINK-1465 - STARLINK-1580,
       Rise,         Set, Duration (s),
    6609.308,    7518.797,     909.489,
   20939.764,   21837.567,     897.803,
   35275.945,   36150.874,     874.930,
   46744.304,   50466.777,    3722.473,
   61078.755,   61916.738,     837.983,
   75419.627,   76225.429,     805.802,
Is_True,           9.3154%,
Analysis,STARLINK-1465 - STARLINK-3641,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1465 - STARLINK-3321,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1465 - FALCON 9 DEB11,
       Rise,         Set, Duration (s),
       0.000,   17943.512,   17943.512,
   18928.155,   31272.318,   12344.163,
   36008.819,   42717.436,    6708.617,
   48784.575,   57135.054,    8350.479,
   61427.642,   71458.590,   10030.948,
   75882.133,   86400.000,   10517.867,
Is_True,          76.2680%,
Analysis,STARLINK-1465 - STARLINK-1644,
       Rise,         Set, Duration (s),
   86364.324,   86400.000,      35.676,
Is_True,           0.0413%,
Analysis,STARLINK-1465 - STARLINK-3397,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1465 - STARLINK-1849,
       Rise,         Set, Duration (s),
Is_True,           0.0000%,
Analysis,STARLINK-1465 - IOAG-Equatorial,
       Rise,         Set, Duration (s),
       0.000,    2655.733,    2655.733,
    4816.288,   13268.203,    8451.915,
   17528.314,   19879.694,    2351.380,
   22037.019,   31350.984,    9313.964,
   33499.067,   42799.045,    9299.978,
   44945.046,   48529.736,    3584.690,
   50676.489,   54269.933,    3593.444,
   62159.154,   71501.947,    9342.793,
   73632.578,   77231.661,    3599.083,
   79357.483,   86400.000,    7042.517,
Is_True,          68.5596%,
Analysis,STARLINK-1465 - IOAG-North1,
       Rise,         Set, Duration (s),
       0.000,    2663.264,    2663.264,
   10563.875,   14143.612,    3579.737,
   16304.171,   19883.913,    3579.741,
   22042.521,   31358.052,    9315.531,
   33510.814,   42813.065,    9302.251,
   44952.103,   48537.997,    3585.894,
   50685.293,   60022.208,    9336.914,
   62166.449,   71502.897,    9336.448,
   73640.041,   77239.746,    3599.705,
   79371.276,   86400.000,    7028.724,
Is_True,          70.9817%,
Analysis,STARLINK-1465 - IOAG-North2,
       Rise,         Set, Duration (s),
       0.000,    2686.188,    2686.188,
    4848.229,   14153.492,    9305.263,
   16309.209,   19878.339,    3569.130,
   22026.773,   31339.551,    9312.777,
   33494.930,   42822.174,    9327.244,
   44973.222,   48560.996,    3587.774,
   50708.840,   60029.039,    9320.199,
   62165.460,   71480.537,    9315.077,
   73617.370,   77223.221,    3605.851,
   79358.683,   86400.000,    7041.317,
Is_True,          77.6283%,
Analysis,STARLINK-1465 - IOAG-South1,
       Rise,         Set, Duration (s),
       0.000,    2670.975,    2670.975,
    4824.096,   14115.723,    9291.627,
   16271.409,   19849.318,    3577.909,
   22003.921,   31328.143,    9324.222,
   33480.061,   42816.319,    9336.258,
   44962.206,   48536.717,    3574.511,
   50676.896,   59992.470,    9315.574,
